,routeid,routestring,EndSolution,origin,destination,weights,weight_of_route,route_flow
2,7306407,"['HUN', 'SVK', 'POL', 'DEU']",1,HUN,DEU,"[0.25, 0.25, 0.25, 0.0]",0.75,HUNDEU
3,7306249,"['HUN', 'SVK', 'AUT', 'DEU']",1,HUN,DEU,"[0.25, 0.25, 0.0, 0.0]",0.5,HUNDEU
4,7307834,"['HUN', 'UKR', 'POL', 'DEU']",1,HUN,DEU,"[0.25, 1.5, 0.25, 0.0]",2.0,HUNDEU
5,7306251,"['HUN', 'SVK', 'CZE', 'DEU']",1,HUN,DEU,"[0.25, 0.25, 0.25, 0.0]",0.75,HUNDEU
6,7306888,"['HUN', 'SVN', 'AUT', 'DEU']",1,HUN,DEU,"[0.25, 0.25, 0.0, 0.0]",0.5,HUNDEU
7,7308430,"['HUN', 'UKR', 'SVK', 'POL', 'DEU']",1,HUN,DEU,"[0.25, 1.5, 0.25, 0.25, 0.0]",2.25,HUNDEU
8,7306250,"['HUN', 'SVK', 'CZE', 'AUT', 'DEU']",1,HUN,DEU,"[0.25, 0.25, 0.25, 0.0, 0.0]",0.75,HUNDEU
9,7306406,"['HUN', 'SVK', 'POL', 'CZE', 'DEU']",1,HUN,DEU,"[0.25, 0.25, 0.25, 0.25, 0.0]",1.0,HUNDEU
0,7338211,"['HUN', 'AUT', 'DEU', 'NLD']",1,HUN,NLD,"[0.25, 0.0, 0.0, 0.0]",0.25,HUNNLD
1,7351294,"['HUN', 'SVK', 'POL', 'DEU', 'NLD']",1,HUN,NLD,"[0.25, 0.25, 0.25, 0.0, 0.0]",0.75,HUNNLD
2,7340119,"['HUN', 'AUT', 'CHE', 'DEU', 'NLD']",1,HUN,NLD,"[0.25, 0.0, 1.0, 0.0, 0.0]",1.25,HUNNLD
3,7357374,"['HUN', 'UKR', 'POL', 'DEU', 'NLD']",1,HUN,NLD,"[0.25, 1.5, 0.25, 0.0, 0.0]",2.0,HUNNLD
4,7337870,"['HUN', 'AUT', 'DEU', 'BEL', 'NLD']",1,HUN,NLD,"[0.25, 0.0, 0.0, 0.0, 0.0]",0.25,HUNNLD
5,7337080,"['HUN', 'AUT', 'CZE', 'DEU', 'NLD']",1,HUN,NLD,"[0.25, 0.0, 0.25, 0.0, 0.0]",0.5,HUNNLD
6,7350348,"['HUN', 'SVK', 'CZE', 'DEU', 'NLD']",1,HUN,NLD,"[0.25, 0.25, 0.25, 0.0, 0.0]",0.75,HUNNLD
7,7349549,"['HUN', 'SVK', 'AUT', 'DEU', 'NLD']",1,HUN,NLD,"[0.25, 0.25, 0.0, 0.0, 0.0]",0.5,HUNNLD
8,7353396,"['HUN', 'SVN', 'AUT', 'DEU', 'NLD']",1,HUN,NLD,"[0.25, 0.25, 0.0, 0.0, 0.0]",0.5,HUNNLD
9,7338258,"['HUN', 'AUT', 'ITA', 'FRA', 'DEU', 'NLD']",1,HUN,NLD,"[0.25, 0.0, 0.25, 0.0, 0.0, 0.0]",0.5,HUNNLD
0,7367315,"['KAZ', 'RUS', 'UKR', 'MDA']",1,KAZ,MDA,"[1.75, 1.75, 1.5, 1.5]",6.5,KAZMDA
1,7361710,"['KAZ', 'RUS', 'BLR', 'UKR', 'MDA']",1,KAZ,MDA,"[1.75, 1.75, 1.75, 1.5, 1.5]",8.25,KAZMDA
2,7366278,"['KAZ', 'RUS', 'POL', 'UKR', 'MDA']",1,KAZ,MDA,"[1.75, 1.75, 0.25, 1.5, 1.5]",6.75,KAZMDA
3,7366038,"['KAZ', 'RUS', 'POL', 'SVK', 'UKR', 'MDA']",1,KAZ,MDA,"[1.75, 1.75, 0.25, 0.25, 1.5, 1.5]",7.0,KAZMDA
4,7363299,"['KAZ', 'RUS', 'LTU', 'BLR', 'UKR', 'MDA']",1,KAZ,MDA,"[1.75, 1.75, 0.25, 1.75, 1.5, 1.5]",8.5,KAZMDA
5,7366912,"['KAZ', 'RUS', 'UKR', 'HUN', 'ROU', 'MDA']",1,KAZ,MDA,"[1.75, 1.75, 1.5, 0.25, 0.5, 1.5]",7.25,KAZMDA
6,7362629,"['KAZ', 'RUS', 'LVA', 'BLR', 'UKR', 'MDA']",1,KAZ,MDA,"[1.75, 1.75, 0.25, 1.75, 1.5, 1.5]",8.5,KAZMDA
7,7361437,"['KAZ', 'RUS', 'BLR', 'POL', 'UKR', 'MDA']",1,KAZ,MDA,"[1.75, 1.75, 1.75, 0.25, 1.5, 1.5]",8.5,KAZMDA
8,7364148,"['KAZ', 'RUS', 'LTU', 'POL', 'UKR', 'MDA']",1,KAZ,MDA,"[1.75, 1.75, 0.25, 0.25, 1.5, 1.5]",7.0,KAZMDA
9,7364231,"['KAZ', 'RUS', 'POL', 'BLR', 'UKR', 'MDA']",1,KAZ,MDA,"[1.75, 1.75, 0.25, 1.75, 1.5, 1.5]",8.5,KAZMDA
0,7367316,"['KAZ', 'RUS']",1,KAZ,RUS,"[1.75, 1.75]",3.5,KAZRUS
0,7367318,"['KAZ', 'RUS', 'AZE', 'TUR']",1,KAZ,TUR,"[1.75, 1.75, 1.5, 1.5]",6.5,KAZTUR
1,7369840,"['KAZ', 'RUS', 'GEO', 'TUR']",1,KAZ,TUR,"[1.75, 1.75, 1.5, 1.5]",6.5,KAZTUR
2,7367317,"['KAZ', 'RUS', 'AZE', 'GEO', 'TUR']",1,KAZ,TUR,"[1.75, 1.75, 1.5, 1.5, 1.5]",8.0,KAZTUR
3,7369839,"['KAZ', 'RUS', 'GEO', 'AZE', 'TUR']",1,KAZ,TUR,"[1.75, 1.75, 1.5, 1.5, 1.5]",8.0,KAZTUR
4,7377515,"['KAZ', 'RUS', 'UKR', 'ROU', 'BGR', 'TUR']",1,KAZ,TUR,"[1.75, 1.75, 1.5, 0.5, 0.5, 1.5]",7.5,KAZTUR
5,7376306,"['KAZ', 'RUS', 'UKR', 'HUN', 'SRB', 'BGR', 'TUR']",1,KAZ,TUR,"[1.75, 1.75, 1.5, 0.25, 1.5, 0.5, 1.5]",8.75,KAZTUR
6,7369154,"['KAZ', 'RUS', 'BLR', 'UKR', 'ROU', 'BGR', 'TUR']",1,KAZ,TUR,"[1.75, 1.75, 1.75, 1.5, 0.5, 0.5, 1.5]",9.25,KAZTUR
7,7375287,"['KAZ', 'RUS', 'POL', 'UKR', 'ROU', 'BGR', 'TUR']",1,KAZ,TUR,"[1.75, 1.75, 0.25, 1.5, 0.5, 0.5, 1.5]",7.75,KAZTUR
8,7376244,"['KAZ', 'RUS', 'UKR', 'HUN', 'ROU', 'BGR', 'TUR']",1,KAZ,TUR,"[1.75, 1.75, 1.5, 0.25, 0.5, 0.5, 1.5]",7.75,KAZTUR
9,7377443,"['KAZ', 'RUS', 'UKR', 'ROU', 'BGR', 'GRC', 'TUR']",1,KAZ,TUR,"[1.75, 1.75, 1.5, 0.5, 0.5, 0.5, 1.5]",8.0,KAZTUR
0,7381831,"['MDA', 'ROU', 'SRB', 'ALB']",1,MDA,ALB,"[1.5, 0.5, 1.5, 1.5]",5.0,MDAALB
1,7378677,"['MDA', 'ROU', 'BGR', 'GRC', 'ALB']",1,MDA,ALB,"[1.5, 0.5, 0.5, 0.5, 1.5]",4.5,MDAALB
2,7378678,"['MDA', 'ROU', 'BGR', 'MKD', 'ALB']",1,MDA,ALB,"[1.5, 0.5, 0.5, 1.5, 1.5]",5.5,MDAALB
3,7378679,"['MDA', 'ROU', 'BGR', 'SRB', 'ALB']",1,MDA,ALB,"[1.5, 0.5, 0.5, 1.5, 1.5]",5.5,MDAALB
4,7379806,"['MDA', 'ROU', 'HUN', 'SRB', 'ALB']",1,MDA,ALB,"[1.5, 0.5, 0.25, 1.5, 1.5]",5.25,MDAALB
5,7389976,"['MDA', 'UKR', 'ROU', 'SRB', 'ALB']",1,MDA,ALB,"[1.5, 1.5, 0.5, 1.5, 1.5]",6.5,MDAALB
6,7386858,"['MDA', 'UKR', 'HUN', 'SRB', 'ALB']",1,MDA,ALB,"[1.5, 1.5, 0.25, 1.5, 1.5]",6.25,MDAALB
7,7379668,"['MDA', 'ROU', 'HUN', 'HRV', 'SRB', 'ALB']",1,MDA,ALB,"[1.5, 0.5, 0.25, 0.5, 1.5, 1.5]",5.75,MDAALB
8,7379667,"['MDA', 'ROU', 'HUN', 'HRV', 'MNE', 'ALB']",1,MDA,ALB,"[1.5, 0.5, 0.25, 0.5, 1.5, 1.5]",5.75,MDAALB
9,7382608,"['MDA', 'ROU', 'UKR', 'HUN', 'SRB', 'ALB']",1,MDA,ALB,"[1.5, 0.5, 1.5, 0.25, 1.5, 1.5]",6.75,MDAALB
0,7396235,"['MDA', 'ROU', 'SRB', 'BIH']",1,MDA,BIH,"[1.5, 0.5, 1.5, 1.5]",5.0,MDABIH
1,7401053,"['MDA', 'UKR', 'HUN', 'HRV', 'BIH']",1,MDA,BIH,"[1.5, 1.5, 0.25, 0.5, 1.5]",5.25,MDABIH
2,7394159,"['MDA', 'ROU', 'HUN', 'HRV', 'BIH']",1,MDA,BIH,"[1.5, 0.5, 0.25, 0.5, 1.5]",4.25,MDABIH
3,7394177,"['MDA', 'ROU', 'HUN', 'SRB', 'BIH']",1,MDA,BIH,"[1.5, 0.5, 0.25, 1.5, 1.5]",5.25,MDABIH
4,7401137,"['MDA', 'UKR', 'HUN', 'SRB', 'BIH']",1,MDA,BIH,"[1.5, 1.5, 0.25, 1.5, 1.5]",6.25,MDABIH
5,7404227,"['MDA', 'UKR', 'ROU', 'SRB', 'BIH']",1,MDA,BIH,"[1.5, 1.5, 0.5, 1.5, 1.5]",6.5,MDABIH
6,7393175,"['MDA', 'ROU', 'BGR', 'SRB', 'BIH']",1,MDA,BIH,"[1.5, 0.5, 0.5, 1.5, 1.5]",5.5,MDABIH
7,7395293,"['MDA', 'ROU', 'HUN', 'SVN', 'HRV', 'BIH']",1,MDA,BIH,"[1.5, 0.5, 0.25, 0.25, 0.5, 1.5]",4.5,MDABIH
8,7393167,"['MDA', 'ROU', 'BGR', 'MKD', 'SRB', 'BIH']",1,MDA,BIH,"[1.5, 0.5, 0.5, 1.5, 1.5, 1.5]",7.0,MDABIH
9,7396979,"['MDA', 'ROU', 'UKR', 'HUN', 'SRB', 'BIH']",1,MDA,BIH,"[1.5, 0.5, 1.5, 0.25, 1.5, 1.5]",6.75,MDABIH
0,7411060,"['MDA', 'UKR', 'POL', 'DEU']",1,MDA,DEU,"[1.5, 1.5, 0.25, 0.0]",3.25,MDADEU
1,7412005,"['MDA', 'UKR', 'SVK', 'CZE', 'DEU']",1,MDA,DEU,"[1.5, 1.5, 0.25, 0.25, 0.0]",3.5,MDADEU
2,7409987,"['MDA', 'ROU', 'UKR', 'POL', 'DEU']",1,MDA,DEU,"[1.5, 0.5, 1.5, 0.25, 0.0]",3.75,MDADEU
3,7408174,"['MDA', 'ROU', 'HUN', 'AUT', 'DEU']",1,MDA,DEU,"[1.5, 0.5, 0.25, 0.0, 0.0]",2.25,MDADEU
4,7412333,"['MDA', 'UKR', 'SVK', 'POL', 'DEU']",1,MDA,DEU,"[1.5, 1.5, 0.25, 0.25, 0.0]",3.5,MDADEU
5,7411059,"['MDA', 'UKR', 'POL', 'CZE', 'DEU']",1,MDA,DEU,"[1.5, 1.5, 0.25, 0.25, 0.0]",3.5,MDADEU
6,7410387,"['MDA', 'UKR', 'HUN', 'AUT', 'DEU']",1,MDA,DEU,"[1.5, 1.5, 0.25, 0.0, 0.0]",3.25,MDADEU
7,7412003,"['MDA', 'UKR', 'SVK', 'AUT', 'DEU']",1,MDA,DEU,"[1.5, 1.5, 0.25, 0.0, 0.0]",3.25,MDADEU
8,7412001,"['MDA', 'UKR', 'RUS', 'POL', 'DEU']",1,MDA,DEU,"[1.5, 1.5, 1.75, 0.25, 0.0]",5.0,MDADEU
9,7410314,"['MDA', 'UKR', 'BLR', 'POL', 'DEU']",1,MDA,DEU,"[1.5, 1.5, 1.75, 0.25, 0.0]",5.0,MDADEU
0,7426595,"['MDA', 'UKR', 'POL', 'DEU', 'FRA', 'ESP']",1,MDA,ESP,"[1.5, 1.5, 0.25, 0.0, 0.0, 0.25]",3.5,MDAESP
1,7424073,"['MDA', 'UKR', 'HUN', 'AUT', 'CHE', 'FRA', 'ESP']",1,MDA,ESP,"[1.5, 1.5, 0.25, 0.0, 1.0, 0.0, 0.25]",4.5,MDAESP
2,7425697,"['MDA', 'UKR', 'HUN', 'SVN', 'ITA', 'FRA', 'ESP']",1,MDA,ESP,"[1.5, 1.5, 0.25, 0.25, 0.25, 0.0, 0.25]",4.0,MDAESP
3,7416054,"['MDA', 'ROU', 'HUN', 'SVN', 'ITA', 'FRA', 'ESP']",1,MDA,ESP,"[1.5, 0.5, 0.25, 0.25, 0.25, 0.0, 0.25]",3.0,MDAESP
4,7413830,"['MDA', 'ROU', 'HUN', 'AUT', 'DEU', 'FRA', 'ESP']",1,MDA,ESP,"[1.5, 0.5, 0.25, 0.0, 0.0, 0.0, 0.25]",2.5,MDAESP
5,7414314,"['MDA', 'ROU', 'HUN', 'AUT', 'CHE', 'FRA', 'ESP']",1,MDA,ESP,"[1.5, 0.5, 0.25, 0.0, 1.0, 0.0, 0.25]",3.5,MDAESP
6,7413958,"['MDA', 'ROU', 'HUN', 'AUT', 'ITA', 'FRA', 'ESP']",1,MDA,ESP,"[1.5, 0.5, 0.25, 0.0, 0.25, 0.0, 0.25]",2.75,MDAESP
7,7422918,"['MDA', 'UKR', 'BLR', 'POL', 'DEU', 'FRA', 'ESP']",1,MDA,ESP,"[1.5, 1.5, 1.75, 0.25, 0.0, 0.0, 0.25]",5.25,MDAESP
8,7420560,"['MDA', 'ROU', 'UKR', 'POL', 'DEU', 'FRA', 'ESP']",1,MDA,ESP,"[1.5, 0.5, 1.5, 0.25, 0.0, 0.0, 0.25]",4.0,MDAESP
9,7423699,"['MDA', 'UKR', 'HUN', 'AUT', 'DEU', 'FRA', 'ESP']",1,MDA,ESP,"[1.5, 1.5, 0.25, 0.0, 0.0, 0.0, 0.25]",3.5,MDAESP
0,7434906,"['MDA', 'ROU', 'HUN', 'SVN', 'ITA']",1,MDA,ITA,"[1.5, 0.5, 0.25, 0.25, 0.25]",2.75,MDAITA
1,7440848,"['MDA', 'UKR', 'HUN', 'SVN', 'ITA']",1,MDA,ITA,"[1.5, 1.5, 0.25, 0.25, 0.25]",3.75,MDAITA
2,7439903,"['MDA', 'UKR', 'HUN', 'AUT', 'ITA']",1,MDA,ITA,"[1.5, 1.5, 0.25, 0.0, 0.25]",3.5,MDAITA
3,7443849,"['MDA', 'UKR', 'SVK', 'AUT', 'ITA']",1,MDA,ITA,"[1.5, 1.5, 0.25, 0.0, 0.25]",3.5,MDAITA
4,7433895,"['MDA', 'ROU', 'HUN', 'AUT', 'ITA']",1,MDA,ITA,"[1.5, 0.5, 0.25, 0.0, 0.25]",2.5,MDAITA
5,7434272,"['MDA', 'ROU', 'HUN', 'SVK', 'AUT', 'ITA']",1,MDA,ITA,"[1.5, 0.5, 0.25, 0.25, 0.0, 0.25]",2.75,MDAITA
6,7436161,"['MDA', 'ROU', 'SRB', 'HUN', 'AUT', 'ITA']",1,MDA,ITA,"[1.5, 0.5, 1.5, 0.25, 0.0, 0.25]",4.0,MDAITA
7,7437668,"['MDA', 'ROU', 'UKR', 'HUN', 'SVN', 'ITA']",1,MDA,ITA,"[1.5, 0.5, 1.5, 0.25, 0.25, 0.25]",4.25,MDAITA
8,7434061,"['MDA', 'ROU', 'HUN', 'HRV', 'SVN', 'ITA']",1,MDA,ITA,"[1.5, 0.5, 0.25, 0.5, 0.25, 0.25]",3.25,MDAITA
9,7437333,"['MDA', 'ROU', 'UKR', 'HUN', 'AUT', 'ITA']",1,MDA,ITA,"[1.5, 0.5, 1.5, 0.25, 0.0, 0.25]",4.0,MDAITA
0,7444700,"['MDA', 'ROU']",1,MDA,ROU,"[1.5, 0.5]",2.0,MDAROU
0,7455641,"['MDA', 'UKR', 'RUS']",1,MDA,RUS,"[1.5, 1.5, 1.75]",4.75,MDARUS
1,7450601,"['MDA', 'ROU', 'UKR', 'RUS']",1,MDA,RUS,"[1.5, 0.5, 1.5, 1.75]",5.25,MDARUS
2,7451176,"['MDA', 'UKR', 'BLR', 'RUS']",1,MDA,RUS,"[1.5, 1.5, 1.75, 1.75]",6.5,MDARUS
3,7454205,"['MDA', 'UKR', 'POL', 'RUS']",1,MDA,RUS,"[1.5, 1.5, 0.25, 1.75]",5.0,MDARUS
4,7450600,"['MDA', 'ROU', 'UKR', 'POL', 'RUS']",1,MDA,RUS,"[1.5, 0.5, 1.5, 0.25, 1.75]",5.5,MDARUS
5,7447715,"['MDA', 'ROU', 'HUN', 'UKR', 'RUS']",1,MDA,RUS,"[1.5, 0.5, 0.25, 1.5, 1.75]",5.5,MDARUS
6,7450788,"['MDA', 'UKR', 'BLR', 'LTU', 'RUS']",1,MDA,RUS,"[1.5, 1.5, 1.75, 0.25, 1.75]",6.75,MDARUS
7,7450647,"['MDA', 'UKR', 'BLR', 'LVA', 'RUS']",1,MDA,RUS,"[1.5, 1.5, 1.75, 0.25, 1.75]",6.75,MDARUS
8,7453184,"['MDA', 'UKR', 'POL', 'BLR', 'RUS']",1,MDA,RUS,"[1.5, 1.5, 0.25, 1.75, 1.75]",6.75,MDARUS
9,7454204,"['MDA', 'UKR', 'POL', 'LTU', 'RUS']",1,MDA,RUS,"[1.5, 1.5, 0.25, 0.25, 1.75]",5.25,MDARUS
0,7456593,"['MDA', 'ROU', 'SRB']",1,MDA,SRB,"[1.5, 0.5, 1.5]",3.5,MDASRB
1,7456592,"['MDA', 'ROU', 'HUN', 'SRB']",1,MDA,SRB,"[1.5, 0.5, 0.25, 1.5]",3.75,MDASRB
2,7460277,"['MDA', 'UKR', 'ROU', 'SRB']",1,MDA,SRB,"[1.5, 1.5, 0.5, 1.5]",5.0,MDASRB
3,7458597,"['MDA', 'UKR', 'HUN', 'SRB']",1,MDA,SRB,"[1.5, 1.5, 0.25, 1.5]",4.75,MDASRB
4,7455771,"['MDA', 'ROU', 'BGR', 'SRB']",1,MDA,SRB,"[1.5, 0.5, 0.5, 1.5]",4.0,MDASRB
5,7460007,"['MDA', 'UKR', 'ROU', 'BGR', 'SRB']",1,MDA,SRB,"[1.5, 1.5, 0.5, 0.5, 1.5]",5.5,MDASRB
6,7458596,"['MDA', 'UKR', 'HUN', 'ROU', 'SRB']",1,MDA,SRB,"[1.5, 1.5, 0.25, 0.5, 1.5]",5.25,MDASRB
7,7455770,"['MDA', 'ROU', 'BGR', 'MKD', 'SRB']",1,MDA,SRB,"[1.5, 0.5, 0.5, 1.5, 1.5]",5.5,MDASRB
8,7458572,"['MDA', 'UKR', 'HUN', 'HRV', 'SRB']",1,MDA,SRB,"[1.5, 1.5, 0.25, 0.5, 1.5]",5.25,MDASRB
9,7456591,"['MDA', 'ROU', 'HUN', 'HRV', 'SRB']",1,MDA,SRB,"[1.5, 0.5, 0.25, 0.5, 1.5]",4.25,MDASRB
0,7464142,"['MDA', 'ROU', 'BGR', 'TUR']",1,MDA,TUR,"[1.5, 0.5, 0.5, 1.5]",4.0,MDATUR
1,7463349,"['MDA', 'ROU', 'BGR', 'GRC', 'TUR']",1,MDA,TUR,"[1.5, 0.5, 0.5, 0.5, 1.5]",4.5,MDATUR
2,7479221,"['MDA', 'UKR', 'RUS', 'AZE', 'TUR']",1,MDA,TUR,"[1.5, 1.5, 1.75, 1.5, 1.5]",7.75,MDATUR
3,7478017,"['MDA', 'UKR', 'ROU', 'BGR', 'TUR']",1,MDA,TUR,"[1.5, 1.5, 0.5, 0.5, 1.5]",5.5,MDATUR
4,7479524,"['MDA', 'UKR', 'RUS', 'GEO', 'TUR']",1,MDA,TUR,"[1.5, 1.5, 1.75, 1.5, 1.5]",7.75,MDATUR
5,7467627,"['MDA', 'ROU', 'SRB', 'BGR', 'TUR']",1,MDA,TUR,"[1.5, 0.5, 1.5, 0.5, 1.5]",5.5,MDATUR
6,7463436,"['MDA', 'ROU', 'BGR', 'MKD', 'GRC', 'TUR']",1,MDA,TUR,"[1.5, 0.5, 0.5, 1.5, 0.5, 1.5]",6.0,MDATUR
7,7467618,"['MDA', 'ROU', 'SRB', 'BGR', 'GRC', 'TUR']",1,MDA,TUR,"[1.5, 0.5, 1.5, 0.5, 0.5, 1.5]",6.0,MDATUR
8,7471289,"['MDA', 'ROU', 'UKR', 'RUS', 'AZE', 'TUR']",1,MDA,TUR,"[1.5, 0.5, 1.5, 1.75, 1.5, 1.5]",8.25,MDATUR
9,7465247,"['MDA', 'ROU', 'HUN', 'SRB', 'BGR', 'TUR']",1,MDA,TUR,"[1.5, 0.5, 0.25, 1.5, 0.5, 1.5]",5.75,MDATUR
0,7487670,"['MDA', 'UKR']",1,MDA,UKR,"[1.5, 1.5]",3.0,MDAUKR
1,7487669,"['MDA', 'ROU', 'UKR']",1,MDA,UKR,"[1.5, 0.5, 1.5]",3.5,MDAUKR
2,7486041,"['MDA', 'ROU', 'HUN', 'UKR']",1,MDA,UKR,"[1.5, 0.5, 0.25, 1.5]",3.75,MDAUKR
3,7485565,"['MDA', 'ROU', 'HUN', 'SVK', 'UKR']",1,MDA,UKR,"[1.5, 0.5, 0.25, 0.25, 1.5]",4.0,MDAUKR
4,7487442,"['MDA', 'ROU', 'SRB', 'HUN', 'UKR']",1,MDA,UKR,"[1.5, 0.5, 1.5, 0.25, 1.5]",5.25,MDAUKR
5,7486569,"['MDA', 'ROU', 'SRB', 'HRV', 'HUN', 'UKR']",1,MDA,UKR,"[1.5, 0.5, 1.5, 0.5, 0.25, 1.5]",5.75,MDAUKR
6,7484349,"['MDA', 'ROU', 'HUN', 'AUT', 'SVK', 'UKR']",1,MDA,UKR,"[1.5, 0.5, 0.25, 0.0, 0.25, 1.5]",4.0,MDAUKR
7,7487303,"['MDA', 'ROU', 'SRB', 'HUN', 'SVK', 'UKR']",1,MDA,UKR,"[1.5, 0.5, 1.5, 0.25, 0.25, 1.5]",5.5,MDAUKR
8,7485564,"['MDA', 'ROU', 'HUN', 'SVK', 'POL', 'UKR']",1,MDA,UKR,"[1.5, 0.5, 0.25, 0.25, 0.25, 1.5]",4.25,MDAUKR
9,7483570,"['MDA', 'ROU', 'BGR', 'SRB', 'HUN', 'UKR']",1,MDA,UKR,"[1.5, 0.5, 0.5, 1.5, 0.25, 1.5]",5.75,MDAUKR
0,7489875,"['POL', 'DEU']",1,POL,DEU,"[0.25, 0.0]",0.25,POLDEU
1,7489874,"['POL', 'CZE', 'DEU']",1,POL,DEU,"[0.25, 0.25, 0.0]",0.5,POLDEU
2,7489873,"['POL', 'CZE', 'AUT', 'DEU']",1,POL,DEU,"[0.25, 0.25, 0.0, 0.0]",0.5,POLDEU
3,7489739,"['POL', 'BLR', 'UKR', 'SVK', 'CZE', 'DEU']",1,POL,DEU,"[0.25, 1.75, 1.5, 0.25, 0.25, 0.0]",4.0,POLDEU
4,7489737,"['POL', 'BLR', 'UKR', 'SVK', 'AUT', 'DEU']",1,POL,DEU,"[0.25, 1.75, 1.5, 0.25, 0.0, 0.0]",3.75,POLDEU
5,7488947,"['POL', 'BLR', 'UKR', 'HUN', 'AUT', 'DEU']",1,POL,DEU,"[0.25, 1.75, 1.5, 0.25, 0.0, 0.0]",3.75,POLDEU
6,7489475,"['POL', 'BLR', 'UKR', 'ROU', 'HUN', 'AUT', 'DEU']",1,POL,DEU,"[0.25, 1.75, 1.5, 0.5, 0.25, 0.0, 0.0]",4.25,POLDEU
7,7489736,"['POL', 'BLR', 'UKR', 'SVK', 'AUT', 'CZE', 'DEU']",1,POL,DEU,"[0.25, 1.75, 1.5, 0.25, 0.0, 0.25, 0.0]",4.0,POLDEU
8,7488561,"['POL', 'BLR', 'RUS', 'UKR', 'HUN', 'AUT', 'DEU']",1,POL,DEU,"[0.25, 1.75, 1.75, 1.5, 0.25, 0.0, 0.0]",5.5,POLDEU
9,7489184,"['POL', 'BLR', 'UKR', 'HUN', 'SVK', 'CZE', 'DEU']",1,POL,DEU,"[0.25, 1.75, 1.5, 0.25, 0.25, 0.25, 0.0]",4.25,POLDEU
0,7489876,"['PRT', 'ESP']",1,PRT,ESP,"[0.0, 0.25]",0.25,PRTESP
0,7500729,"['ROU', 'SRB', 'ALB']",1,ROU,ALB,"[0.5, 1.5, 1.5]",3.5,ROUALB
1,7489877,"['ROU', 'BGR', 'GRC', 'ALB']",1,ROU,ALB,"[0.5, 0.5, 0.5, 1.5]",3.0,ROUALB
2,7489878,"['ROU', 'BGR', 'MKD', 'ALB']",1,ROU,ALB,"[0.5, 0.5, 1.5, 1.5]",4.0,ROUALB
3,7489879,"['ROU', 'BGR', 'SRB', 'ALB']",1,ROU,ALB,"[0.5, 0.5, 1.5, 1.5]",4.0,ROUALB
4,7492803,"['ROU', 'HUN', 'SRB', 'ALB']",1,ROU,ALB,"[0.5, 0.25, 1.5, 1.5]",3.75,ROUALB
5,7502783,"['ROU', 'UKR', 'HUN', 'SRB', 'ALB']",1,ROU,ALB,"[0.5, 1.5, 0.25, 1.5, 1.5]",5.25,ROUALB
6,7490498,"['ROU', 'BGR', 'TUR', 'GRC', 'ALB']",1,ROU,ALB,"[0.5, 0.5, 1.5, 0.5, 1.5]",4.5,ROUALB
7,7492354,"['ROU', 'HUN', 'HRV', 'MNE', 'ALB']",1,ROU,ALB,"[0.5, 0.25, 0.5, 1.5, 1.5]",4.25,ROUALB
8,7492355,"['ROU', 'HUN', 'HRV', 'SRB', 'ALB']",1,ROU,ALB,"[0.5, 0.25, 0.5, 1.5, 1.5]",4.25,ROUALB
9,7495498,"['ROU', 'HUN', 'SVN', 'HRV', 'MNE', 'ALB']",1,ROU,ALB,"[0.5, 0.25, 0.25, 0.5, 1.5, 1.5]",4.5,ROUALB
0,7523899,"['ROU', 'UKR', 'POL', 'DEU', 'BEL']",1,ROU,BEL,"[0.5, 1.5, 0.25, 0.0, 0.0]",2.25,ROUBEL
1,7511899,"['ROU', 'HUN', 'AUT', 'DEU', 'BEL']",1,ROU,BEL,"[0.5, 0.25, 0.0, 0.0, 0.0]",0.75,ROUBEL
2,7514551,"['ROU', 'HUN', 'SVN', 'ITA', 'FRA', 'BEL']",1,ROU,BEL,"[0.5, 0.25, 0.25, 0.25, 0.0, 0.0]",1.25,ROUBEL
3,7514172,"['ROU', 'HUN', 'SVN', 'AUT', 'DEU', 'BEL']",1,ROU,BEL,"[0.5, 0.25, 0.25, 0.0, 0.0, 0.0]",1.0,ROUBEL
4,7513620,"['ROU', 'HUN', 'SVK', 'POL', 'DEU', 'BEL']",1,ROU,BEL,"[0.5, 0.25, 0.25, 0.25, 0.0, 0.0]",1.25,ROUBEL
5,7511628,"['ROU', 'HUN', 'AUT', 'CZE', 'DEU', 'BEL']",1,ROU,BEL,"[0.5, 0.25, 0.0, 0.25, 0.0, 0.0]",1.0,ROUBEL
6,7512341,"['ROU', 'HUN', 'AUT', 'CHE', 'FRA', 'BEL']",1,ROU,BEL,"[0.5, 0.25, 0.0, 1.0, 0.0, 0.0]",1.75,ROUBEL
7,7513228,"['ROU', 'HUN', 'SVK', 'AUT', 'DEU', 'BEL']",1,ROU,BEL,"[0.5, 0.25, 0.25, 0.0, 0.0, 0.0]",1.0,ROUBEL
8,7525961,"['ROU', 'UKR', 'SVK', 'POL', 'DEU', 'BEL']",1,ROU,BEL,"[0.5, 1.5, 0.25, 0.25, 0.0, 0.0]",2.5,ROUBEL
9,7512342,"['ROU', 'HUN', 'AUT', 'CHE', 'DEU', 'BEL']",1,ROU,BEL,"[0.5, 0.25, 0.0, 1.0, 0.0, 0.0]",1.75,ROUBEL
0,7526033,"['ROU', 'BGR']",1,ROU,BGR,"[0.5, 0.5]",1.0,ROUBGR
